Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C69        1206                  2979mil       2360mil       2979mil       2360mil       2924mil       2360mil  B        180.00 10uF/16V       
HL11       LED_0805          2813.045mil   4882.957mil   2813.045mil   4882.957mil   2813.045mil   4847.524mil  T        270.00 LED,Red        
HL10       LED_0805           2714.62mil   4882.957mil    2714.62mil   4882.957mil    2714.62mil   4847.524mil  T        270.00 LED,Red        
HL9        LED_0805          2612.258mil   4882.957mil   2612.258mil   4882.957mil   2612.258mil   4847.524mil  T        270.00 LED,Red        
HL8        LED_0805          2513.833mil   4882.957mil   2513.833mil   4882.957mil   2513.833mil   4847.524mil  T        270.00 LED,Red        
HL7        LED_0805          2411.471mil   4882.957mil   2411.471mil   4882.957mil   2411.471mil   4847.524mil  T        270.00 LED,Red        
HL6        LED_0805          2313.046mil   4882.957mil   2313.046mil   4882.957mil   2313.046mil   4847.524mil  T        270.00 LED,Red        
HL5        LED_0805          2210.684mil   4882.957mil   2210.684mil   4882.957mil   2210.684mil   4847.524mil  T        270.00 LED,Red        
HL4        LED_0805          2112.259mil   4882.957mil   2112.259mil   4882.957mil   2112.259mil   4847.524mil  T        270.00 LED,Red        
HL3        LED_0805          3802.646mil    4881.89mil   3802.646mil    4881.89mil   3802.646mil   4846.457mil  T        270.00 LED,Red        
HL2        LED_0805          3712.095mil    4881.89mil   3712.095mil    4881.89mil   3712.095mil   4846.457mil  T        270.00 LED,Red        
HL1        LED_0805          3610.236mil   4882.957mil   3610.236mil   4882.957mil   3610.236mil   4847.524mil  T        270.00 LED,Red        
AC5        LED_0805              1381mil       4110mil       1381mil       4110mil       1381mil   4074.567mil  T        270.00 LED,Red        
AC4        LED_0805              1466mil       4110mil       1466mil       4110mil       1466mil   4074.567mil  T        270.00 LED,Red        
AC3        LED_0805               958mil       4114mil        958mil       4114mil        958mil   4078.567mil  T        270.00 LED,Red        
AC2        LED_0805              1043mil       4113mil       1043mil       4113mil       1043mil   4077.567mil  T        270.00 LED,Red        
AC1        LED_0805              1128mil       4113mil       1128mil       4113mil       1128mil   4077.567mil  T        270.00 LED,Red        
R25        8P4R_0603         3854.331mil   4720.472mil   3854.331mil   4720.472mil    3803.15mil   4688.976mil  T         90.00 10K,1%         
R14        8P4R_0603         2299.213mil   4716.535mil   2299.213mil   4716.535mil   2248.032mil   4685.039mil  T         90.00 10K,1%         
R21        8P4R_0603         2708.662mil   4716.535mil   2708.662mil   4716.535mil   2657.481mil   4685.039mil  T         90.00 10K,1%         
R24        0805                  3759mil       1110mil       3759mil       1110mil   3721.598mil       1110mil  T        360.00 0R,1%,DNI      
U3         SOIC8             3846.535mil    1348.37mil   3952.835mil    1273.37mil   3952.835mil    1273.37mil  T        180.00 OPA177GS,DNI   
R20        0805              3149.047mil   1823.801mil   3149.047mil   1823.801mil   3149.047mil   1861.203mil  T        270.00 10K,5%         
R19        0805              4343.081mil   1466.443mil   4343.081mil   1466.443mil   4343.081mil   1429.041mil  T         90.00 1K,1%          
R12        0805              2117.173mil   2966.331mil   2117.173mil   2966.331mil   2117.173mil   2928.929mil  T         90.00 0R,1%          
ESD1       SOT233             593.598mil   4219.787mil        631mil       4269mil        631mil       4269mil  T        270.00 PESD1CAN       
C67        1206                  1544mil       1202mil       1544mil       1202mil       1544mil       1257mil  T         90.00 10uF/16V       
U8         SOIC18-DW         3200.787mil   3917.323mil   3200.787mil   3917.323mil   3000.787mil   3732.284mil  T         90.00 ULN2803AFWG    
J4         XH2.5-2P          4586.614mil    3407.48mil   4586.614mil   3456.693mil   4586.614mil   3456.693mil  T        270.00 XH2.54-2P      
CD3        CX6.3*5.4             1521mil       3181mil       1521mil       3181mil   1617.457mil       3181mil  T        180.00 100uf/35V      
TP5        TP1               1126.118mil    2744.59mil       1126mil       2745mil   1126.118mil    2744.59mil  T         90.00 TP             
Y2         HC-49S            3192.914mil   2604.725mil   3192.913mil   2704.724mil   3192.914mil   2704.725mil  T         90.00 8Mhz           
U30        S0IC8-DDA          858.511mil   2071.171mil     964.81mil   1996.171mil     964.81mil   1996.171mil  T        180.00 TPS5430DDA     
U26        TO-252            2318.584mil    399.877mil   2228.584mil    266.019mil   2228.584mil    266.019mil  T        360.00 L79M05         
U25        TO-252            2319.548mil    982.892mil   2229.548mil    849.034mil   2229.548mil    849.034mil  T        360.00 L78M05         
U22        SOIC8              888.315mil   1419.434mil    994.615mil   1344.434mil    994.615mil   1344.434mil  T        180.00 MC33063A       
